city,area,rooms,bathroom,parking spaces,animal,furniture,hoa (R$),rent amount (R$),property tax (R$),fire insurance (R$)
Campinas,55,1,1,1,acept,not furnished,0,1195,0,16
Campinas,70,2,1,1,acept,not furnished,500,1275,74,17
Campinas,78,3,2,1,acept,not furnished,542,1935,73,25
Campinas,40,1,1,0,not acept,not furnished,327,595,12,8
Campinas,125,2,1,0,acept,not furnished,778,850,120,11
Campinas,28,1,1,0,not acept,furnished,0,1390,0,18
Campinas,60,2,1,1,acept,not furnished,497,1350,67,18
Campinas,47,1,1,0,acept,furnished,380,550,14,7
Campinas,188,5,4,0,acept,not furnished,0,4000,178,61
Campinas,54,1,1,1,acept,not furnished,750,773,67,10
Campinas,83,2,1,1,not acept,not furnished,390,960,50,13
Campinas,64,2,1,1,acept,not furnished,549,850,76,11
Campinas,111,3,3,3,not acept,furnished,1000,5000,283,64
Campinas,68,2,1,1,acept,not furnished,482,831,0,11
Campinas,55,1,1,1,acept,not furnished,550,720,80,10
Campinas,151,2,2,1,acept,furnished,900,2000,262,26
Campinas,45,1,1,0,acept,not furnished,290,700,10,9
Campinas,53,1,1,1,acept,furnished,1350,3110,85,40
Campinas,57,2,1,1,not acept,not furnished,343,850,67,11
Campinas,80,2,2,1,acept,not furnished,0,1500,41,23
Campinas,55,1,1,1,not acept,not furnished,730,750,80,10
Campinas,76,2,2,2,acept,furnished,1027,2800,152,36
Campinas,48,2,1,1,acept,not furnished,183,1190,0,16
Campinas,135,3,2,2,acept,not furnished,1100,2040,92,26
Campinas,180,4,3,2,acept,not furnished,1050,4348,167,66
Campinas,84,2,1,1,acept,not furnished,590,1100,104,14
Campinas,52,1,1,1,acept,furnished,750,1250,123,16
Campinas,37,1,1,1,acept,not furnished,478,555,0,8
Campinas,85,3,2,2,acept,furnished,510,3000,165,39
Campinas,102,3,2,0,acept,not furnished,918,2500,248,32
Campinas,265,3,3,2,acept,not furnished,0,2400,140,37
Campinas,110,3,3,2,acept,not furnished,560,3700,88,56
Campinas,183,4,2,0,acept,not furnished,920,2400,238,37
Campinas,60,3,2,0,acept,not furnished,350,2362,88,30
Campinas,43,2,1,1,acept,not furnished,274,1000,7,13
Campinas,58,1,1,0,acept,not furnished,500,1050,38,14
Campinas,64,2,1,1,acept,not furnished,441,730,18,10
Campinas,85,3,2,1,acept,not furnished,915,1500,63,20
Campinas,76,1,1,1,not acept,furnished,969,2500,130,32
Campinas,70,2,2,0,not acept,not furnished,0,1000,62,16
Campinas,44,2,1,0,acept,not furnished,272,650,0,9
Campinas,73,3,2,2,acept,not furnished,570,2400,125,31
Campinas,150,3,2,1,acept,not furnished,0,1320,167,20
Campinas,120,1,2,1,acept,not furnished,0,1112,0,17
Campinas,82,3,3,2,acept,not furnished,550,1500,153,20
Campinas,223,3,5,2,acept,not furnished,1400,3300,290,42
Campinas,80,3,1,1,acept,not furnished,380,1328,50,10
Campinas,49,2,1,1,acept,not furnished,263,1000,38,13
Campinas,120,2,1,4,acept,not furnished,0,2400,59,37
Campinas,123,3,2,2,acept,not furnished,834,2000,148,26
Campinas,25,1,1,0,not acept,not furnished,300,1000,0,13
Campinas,79,2,1,1,not acept,not furnished,245,1000,25,13
Campinas,54,1,1,1,not acept,not furnished,0,1370,31,18
Campinas,87,3,1,1,acept,not furnished,730,1200,64,16
Campinas,45,1,1,1,acept,not furnished,521,600,38,8
Campinas,110,3,1,1,acept,not furnished,780,1100,108,9
Campinas,69,2,1,1,not acept,not furnished,485,980,60,13
Campinas,58,1,2,1,not acept,not furnished,850,750,40,10
Campinas,54,2,1,2,acept,not furnished,300,1200,46,16
Campinas,67,3,1,1,not acept,not furnished,351,890,40,12
Campinas,100,3,1,1,acept,not furnished,999,1090,94,14
Campinas,65,2,2,1,not acept,not furnished,412,1000,45,13
Campinas,60,1,1,0,acept,not furnished,250,1300,75,17
Campinas,130,3,5,2,acept,not furnished,1170,3610,209,46
Campinas,103,2,1,1,not acept,not furnished,635,1060,84,14
Campinas,30,1,1,0,not acept,furnished,380,500,10,7
Campinas,103,3,2,1,not acept,not furnished,885,1800,113,23
Campinas,134,3,3,2,not acept,not furnished,1000,2500,177,32
Campinas,85,2,2,0,not acept,not furnished,810,918,98,12
Campinas,50,1,1,1,not acept,not furnished,650,1800,130,23
Campinas,350,2,2,2,acept,not furnished,0,4300,150,65
Campinas,70,3,1,1,acept,not furnished,600,1500,17,20
Campinas,68,2,1,0,not acept,not furnished,498,930,48,12
Campinas,120,3,1,1,not acept,not furnished,650,1800,80,23
Campinas,50,1,1,1,not acept,not furnished,718,1600,13,21
Campinas,78,2,2,1,acept,not furnished,432,1200,127,16
Campinas,92,3,2,3,acept,not furnished,643,3700,299,47
Campinas,114,3,2,1,acept,not furnished,967,1400,176,18
Campinas,85,3,2,1,acept,not furnished,690,1341,110,6
Campinas,60,3,2,1,acept,not furnished,366,1200,0,16
Campinas,60,2,1,1,acept,not furnished,485,800,60,11
Campinas,58,2,1,1,acept,not furnished,280,650,0,9
Campinas,70,1,1,1,acept,furnished,290,1600,70,21
Campinas,38,1,1,0,not acept,not furnished,376,750,15,10
Campinas,60,2,1,1,not acept,not furnished,430,815,20,6
Campinas,175,3,2,0,not acept,not furnished,0,2000,0,31
Campinas,48,1,1,1,acept,furnished,490,1500,42,20
Campinas,87,2,1,1,acept,not furnished,780,1200,52,16
Campinas,71,2,1,1,acept,not furnished,670,977,114,13
Campinas,60,2,1,1,not acept,furnished,385,2848,64,37
Campinas,68,3,1,1,acept,not furnished,555,1100,50,14
Campinas,210,6,3,0,acept,not furnished,0,4200,0,64
Campinas,66,2,1,1,acept,not furnished,265,1100,34,14
Campinas,54,1,1,1,acept,furnished,751,2350,127,30
Campinas,70,1,2,1,not acept,not furnished,450,1000,35,13
Campinas,87,2,1,0,acept,not furnished,415,1100,82,14
Campinas,233,3,1,1,acept,not furnished,0,2700,239,41
Campinas,42,2,1,1,acept,not furnished,191,1020,0,13
Campinas,77,2,2,1,acept,not furnished,725,1200,71,16
Campinas,65,2,1,1,acept,not furnished,420,1250,53,16
Campinas,110,3,3,2,acept,not furnished,560,3200,88,49
Campinas,60,1,1,2,acept,not furnished,0,1610,50,25
Campinas,42,1,1,1,not acept,not furnished,472,2000,75,26
Campinas,87,3,1,0,acept,not furnished,725,1300,105,17
Campinas,120,4,2,5,acept,not furnished,0,4200,0,64
Campinas,56,1,1,0,not acept,not furnished,428,560,17,9
Campinas,50,2,1,0,not acept,not furnished,386,830,55,11
Campinas,40,2,1,1,acept,not furnished,320,1200,70,16
Campinas,57,1,2,1,not acept,not furnished,660,650,0,9
Campinas,71,2,1,1,acept,not furnished,670,1130,114,15
Campinas,42,1,1,1,acept,not furnished,460,1020,42,13
Campinas,67,2,1,1,acept,not furnished,500,1230,42,16
Campinas,60,3,2,1,not acept,not furnished,340,1700,120,22
Campinas,30,1,1,0,acept,not furnished,280,580,12,8
Campinas,44,2,1,1,acept,not furnished,244,1000,0,13
Campinas,68,2,1,2,acept,not furnished,520,1200,74,16
Campinas,52,1,1,1,not acept,furnished,1000,2300,50,30
Campinas,45,2,1,1,acept,not furnished,312,850,25,11
Campinas,48,2,1,1,acept,not furnished,263,1000,66,13
Campinas,35,1,1,1,acept,not furnished,475,750,32,10
Campinas,150,4,2,0,acept,not furnished,0,2500,184,38
Campinas,72,3,1,1,acept,furnished,470,1075,49,14
Campinas,120,2,1,0,acept,not furnished,830,1100,95,14
Campinas,115,3,3,1,acept,not furnished,1035,1900,30,25
Campinas,51,2,1,1,not acept,not furnished,390,800,50,11
Campinas,61,1,1,0,acept,furnished,378,1900,43,25
Campinas,64,1,1,0,acept,not furnished,680,1100,50,14
Campinas,258,2,2,1,acept,not furnished,0,1400,67,22
Campinas,55,2,1,1,acept,not furnished,235,700,0,9
Campinas,53,2,2,1,acept,furnished,443,1900,54,25
Campinas,96,2,1,1,acept,furnished,671,1800,52,23
Campinas,42,1,1,1,acept,not furnished,470,1750,75,23
Campinas,85,2,2,1,acept,not furnished,675,1310,79,17
Campinas,46,2,1,1,acept,not furnished,380,850,18,11
Campinas,100,2,2,1,acept,not furnished,0,2000,0,26
Campinas,60,1,1,1,acept,furnished,665,1700,37,22
Campinas,30,1,1,0,not acept,not furnished,70,1100,9,14
Campinas,51,2,1,2,not acept,not furnished,457,1850,56,24
Campinas,74,3,1,1,acept,not furnished,308,814,49,11
Campinas,78,3,2,1,acept,not furnished,645,1600,67,21
Campinas,34,1,1,0,acept,not furnished,430,650,70,9
Campinas,76,2,1,0,acept,not furnished,300,700,100,9
Campinas,70,1,1,2,acept,not furnished,0,1450,5,22
Campinas,50,2,1,1,acept,not furnished,330,1150,0,15
Campinas,40,1,1,0,acept,not furnished,420,500,17,7
Campinas,58,2,1,1,acept,furnished,385,3500,64,45
Campinas,36,1,1,0,not acept,not furnished,300,500,10,7
Campinas,70,2,1,0,acept,not furnished,470,700,39,9
Campinas,209,3,3,2,not acept,not furnished,593,2550,237,39
Campinas,48,1,2,0,acept,furnished,704,987,46,13
Campinas,75,2,1,2,acept,not furnished,235,1400,25,18
Campinas,63,2,1,0,acept,not furnished,430,950,0,13
Campinas,110,3,2,2,not acept,not furnished,900,2100,100,27
Campinas,65,1,1,1,acept,not furnished,380,1200,83,16
Campinas,94,2,1,1,acept,not furnished,525,1200,88,16
Campinas,58,1,1,1,acept,not furnished,710,720,40,10
Campinas,55,2,1,1,acept,not furnished,453,749,44,10
Campinas,200,4,5,2,not acept,not furnished,1000,8000,84,121
Campinas,50,1,1,0,acept,not furnished,450,1080,15,14
Campinas,74,3,2,1,acept,not furnished,700,1800,120,23
Campinas,80,3,2,2,not acept,not furnished,704,1800,83,23
Campinas,120,3,2,5,acept,not furnished,0,1700,75,26
Campinas,83,2,3,1,acept,not furnished,1100,1500,42,20
Campinas,100,3,2,1,acept,not furnished,690,1300,76,17
Campinas,86,3,2,2,acept,not furnished,420,2340,81,30
Campinas,44,2,1,1,acept,furnished,310,1800,34,23
Campinas,45,1,1,0,acept,not furnished,0,770,34,10
Campinas,44,2,1,2,acept,not furnished,342,908,24,12
Campinas,75,3,2,1,acept,not furnished,280,900,0,12
Campinas,100,3,2,0,not acept,not furnished,815,808,81,11
Campinas,69,2,2,1,acept,not furnished,325,1800,130,23
Campinas,47,1,1,1,acept,furnished,582,2700,135,35
Campinas,78,1,2,1,acept,not furnished,762,1840,50,24
Campinas,70,2,1,2,acept,not furnished,0,1300,70,20
Campinas,104,2,2,1,acept,not furnished,580,1700,122,22
Campinas,50,1,1,1,not acept,furnished,750,1160,185,15
Campinas,75,2,1,2,acept,not furnished,1250,1600,135,21
Campinas,74,2,2,2,acept,furnished,500,4920,0,63
Campinas,71,1,1,1,not acept,not furnished,486,750,56,10
Campinas,450,4,5,4,acept,furnished,0,6500,230,98
Campinas,50,2,1,1,acept,not furnished,270,950,43,13
Campinas,45,2,1,1,acept,not furnished,300,870,0,12
Campinas,58,1,1,0,acept,not furnished,540,900,66,12
Campinas,40,1,1,0,acept,not furnished,380,730,11,10
Campinas,70,3,1,1,acept,not furnished,549,1200,0,16
Campinas,53,1,1,1,acept,not furnished,588,550,73,7
Campinas,90,3,2,1,acept,not furnished,495,1600,76,21
Campinas,120,3,1,2,acept,not furnished,150,1790,150,23
Campinas,78,2,1,1,acept,not furnished,605,1300,106,17
Campinas,115,3,2,1,acept,not furnished,680,1364,91,5
Campinas,55,2,1,1,acept,not furnished,385,940,20,12
Campinas,80,2,2,1,acept,furnished,420,3000,107,39
Campinas,35,1,1,0,acept,not furnished,480,500,14,7
Campinas,46,1,1,0,acept,not furnished,450,500,14,7
Campinas,136,3,4,2,not acept,not furnished,970,2500,131,32
Campinas,74,2,3,1,acept,not furnished,894,1584,118,6
Campinas,60,2,1,1,acept,not furnished,0,900,48,12
Campinas,89,3,2,2,acept,not furnished,900,1897,176,25
Campinas,70,2,1,1,not acept,not furnished,600,1800,1,23
Campinas,60,2,1,0,acept,not furnished,457,1134,55,15
Campinas,54,2,1,1,acept,not furnished,320,1580,69,21
Campinas,45,1,1,0,not acept,not furnished,285,500,0,7
Campinas,60,3,2,1,acept,not furnished,452,800,50,11
Campinas,108,1,3,2,acept,not furnished,980,4500,0,58
Campinas,63,2,1,1,acept,not furnished,498,840,90,11
Campinas,73,3,1,1,acept,not furnished,547,1140,100,15
Campinas,50,2,1,1,acept,not furnished,530,1200,109,16
Campinas,300,4,3,5,acept,not furnished,0,4100,20,62
Campinas,44,1,1,1,acept,not furnished,390,1200,74,16
Campinas,65,2,1,1,not acept,not furnished,267,1000,34,13
Campinas,98,1,1,1,acept,not furnished,730,2800,152,36
Campinas,160,3,2,0,acept,not furnished,0,1600,117,25
Campinas,60,2,1,1,acept,not furnished,314,1000,0,13
Campinas,62,2,1,0,not acept,not furnished,0,1268,0,20
Campinas,55,1,1,0,acept,not furnished,600,1100,60,14
Campinas,94,3,3,2,acept,not furnished,750,2200,192,28
Campinas,75,3,2,2,acept,not furnished,1250,1600,162,21
Campinas,68,2,1,1,acept,not furnished,400,1310,60,17
Campinas,76,3,1,1,not acept,not furnished,484,1100,63,14
Campinas,45,1,1,1,not acept,furnished,450,3900,105,50
Campinas,50,2,1,1,acept,not furnished,300,1170,0,15
Campinas,55,1,1,1,acept,furnished,0,1100,80,14
Campinas,62,2,1,0,acept,not furnished,440,1200,38,16
Campinas,90,3,2,0,acept,not furnished,0,1590,180,24
Campinas,136,4,5,2,acept,not furnished,1300,3800,280,49
Campinas,200,5,2,4,acept,not furnished,0,3200,269,49
Campinas,96,3,2,2,acept,furnished,750,3400,138,44
Campinas,48,2,1,1,acept,not furnished,288,820,45,11
Campinas,55,1,1,1,acept,not furnished,640,700,36,9
Campinas,50,2,1,1,acept,not furnished,0,800,200,11
Campinas,50,1,1,1,acept,not furnished,650,900,69,12
Campinas,70,2,1,1,acept,not furnished,700,1300,0,17
Campinas,62,2,2,2,acept,not furnished,600,1900,82,25
Campinas,55,1,1,0,acept,not furnished,480,1200,50,16
Campinas,58,2,2,2,acept,not furnished,400,2200,100,28
Campinas,55,2,1,1,acept,not furnished,350,1397,80,18
Campinas,94,3,1,0,acept,not furnished,710,1000,90,13
Campinas,105,2,1,1,acept,not furnished,900,1400,77,18
Campinas,115,3,2,2,acept,not furnished,570,1948,109,25
Campinas,110,2,2,0,acept,furnished,960,4200,218,54
Campinas,56,1,1,1,acept,not furnished,616,800,40,11
Campinas,73,3,2,2,not acept,not furnished,812,1500,204,20
Campinas,55,2,1,1,acept,not furnished,344,950,20,13
Campinas,113,3,3,2,acept,not furnished,1000,3804,0,49
Campinas,140,3,3,2,acept,not furnished,1100,2330,198,30
Campinas,73,3,2,1,acept,not furnished,635,1600,100,21
Campinas,48,1,1,1,not acept,not furnished,565,736,0,10
Campinas,66,2,1,1,acept,furnished,340,1050,47,14
Campinas,66,2,2,1,not acept,furnished,536,2270,76,29
Campinas,80,3,1,4,acept,not furnished,0,5500,0,83
Campinas,55,2,1,1,acept,not furnished,422,870,90,12
Campinas,60,2,1,1,acept,not furnished,200,1100,84,14
Campinas,100,2,1,0,acept,not furnished,550,900,61,12
Campinas,140,3,2,1,acept,not furnished,980,2000,221,26
Campinas,46,2,1,1,not acept,not furnished,250,1100,53,5
Campinas,55,2,1,1,acept,not furnished,450,1550,83,20
Campinas,70,2,3,1,acept,not furnished,1196,2004,0,26
Campinas,46,1,1,0,acept,furnished,1300,1950,0,25
Campinas,130,3,2,1,acept,not furnished,1000,2500,100,32
Campinas,80,2,1,1,not acept,not furnished,498,1000,75,13
Campinas,44,1,1,0,acept,furnished,310,770,12,10
Campinas,80,1,1,1,acept,not furnished,550,2800,100,36
Campinas,65,2,1,1,acept,not furnished,550,1100,100,14
Campinas,62,2,1,1,acept,not furnished,370,1100,12,14
Campinas,102,3,3,1,acept,not furnished,1100,1500,105,20
Campinas,70,1,1,1,not acept,not furnished,365,1200,40,16
Campinas,47,1,1,1,acept,not furnished,470,600,43,8
Campinas,74,3,2,1,acept,not furnished,706,1040,100,14
Campinas,65,3,2,1,not acept,not furnished,620,1100,60,14
Campinas,119,3,3,2,acept,not furnished,663,5500,133,70
Campinas,57,1,1,1,acept,not furnished,690,2600,131,33
Campinas,53,1,1,1,acept,not furnished,494,650,34,9
Campinas,190,4,4,2,acept,not furnished,900,3200,192,15
Campinas,57,2,1,1,acept,furnished,370,1000,36,13
Campinas,126,3,3,2,acept,not furnished,780,3600,167,46
Campinas,66,1,1,1,acept,furnished,900,5000,62,64
Campinas,110,3,1,2,acept,not furnished,0,1900,64,29
Campinas,82,2,1,1,acept,not furnished,300,600,105,8
Campinas,129,3,2,2,acept,not furnished,1411,3310,235,42
Campinas,50,2,1,1,acept,not furnished,0,1000,0,13
Campinas,180,3,2,1,acept,not furnished,1060,2200,201,28
Campinas,50,1,1,0,not acept,not furnished,430,702,20,9
Campinas,63,2,1,1,not acept,not furnished,352,1750,90,23
Campinas,80,3,2,2,acept,not furnished,560,2500,250,32
Campinas,58,1,1,1,acept,not furnished,530,1200,0,16
Campinas,50,1,1,0,acept,not furnished,473,550,14,7
Campinas,55,2,1,1,acept,not furnished,480,750,66,10
Campinas,120,3,3,2,not acept,not furnished,400,1850,0,24
Campinas,58,2,1,1,acept,not furnished,472,870,75,12
Campinas,59,2,1,1,acept,not furnished,430,1190,47,16
Campinas,130,3,2,6,acept,not furnished,0,2200,182,34
Campinas,101,3,2,2,acept,not furnished,632,2200,119,28
Campinas,67,3,1,1,acept,not furnished,447,1200,26,16
Campinas,110,3,1,1,acept,not furnished,830,1200,25,5
Campinas,115,2,3,2,acept,furnished,687,3500,220,45
Campinas,146,2,1,1,acept,not furnished,730,1620,128,21
Campinas,44,2,1,1,acept,not furnished,192,1020,0,13
Campinas,137,3,4,2,acept,not furnished,1176,3800,257,49
Campinas,54,2,1,1,acept,not furnished,320,1800,72,23
Campinas,35,1,1,1,acept,not furnished,392,1100,13,14
Campinas,138,3,3,0,acept,not furnished,1000,7000,84,89
Campinas,60,2,1,1,acept,not furnished,450,790,17,11
Campinas,62,3,2,1,acept,not furnished,330,2975,59,38
Campinas,54,1,2,0,acept,not furnished,245,720,46,10
Campinas,140,4,3,2,acept,not furnished,1030,3500,220,45
Campinas,44,2,1,1,acept,not furnished,250,1090,10,14
Campinas,47,1,1,0,acept,not furnished,400,1700,72,22
Campinas,56,2,1,1,acept,not furnished,340,1400,57,18
Campinas,56,1,1,1,acept,furnished,722,1350,50,18
Campinas,180,2,1,0,acept,not furnished,0,2000,15,31
Campinas,45,1,1,1,acept,not furnished,367,1100,34,14
Campinas,60,2,1,1,acept,not furnished,395,580,15,8
Campinas,62,2,1,1,acept,not furnished,447,1200,76,16
Campinas,47,1,1,0,not acept,furnished,580,750,0,10
Campinas,270,4,4,8,acept,not furnished,0,3200,144,49
Campinas,55,1,2,1,not acept,not furnished,744,954,74,13
Campinas,64,2,2,2,acept,not furnished,800,1900,129,25
Campinas,92,3,4,2,acept,not furnished,804,2200,144,28
Campinas,54,1,1,1,acept,not furnished,758,1148,84,15
Campinas,70,3,1,1,acept,not furnished,650,1300,17,17
Campinas,78,3,2,2,acept,not furnished,605,1690,68,22
Campinas,74,3,2,1,acept,not furnished,650,1600,250,21
Campinas,58,1,2,2,acept,not furnished,630,1235,80,16
Campinas,110,2,1,1,acept,not furnished,130,980,52,13
Campinas,277,3,4,4,acept,not furnished,0,3170,28,48
Campinas,55,1,1,1,acept,not furnished,570,1100,0,14
Campinas,92,3,2,2,acept,furnished,720,3200,139,41
Campinas,160,3,1,4,not acept,not furnished,0,3400,135,52
Campinas,88,3,2,2,acept,furnished,900,1950,104,25
Campinas,48,1,1,1,not acept,not furnished,450,550,42,7
Campinas,96,3,3,2,not acept,not furnished,590,4147,243,53
Campinas,55,2,1,1,acept,not furnished,270,900,34,12
Campinas,40,1,1,1,not acept,furnished,560,1000,33,13
Campinas,60,2,1,1,acept,not furnished,345,820,16,11
Campinas,62,2,1,0,acept,not furnished,430,800,25,11
Campinas,120,3,2,3,acept,not furnished,0,2200,180,34
Campinas,45,1,1,0,not acept,not furnished,0,700,25,11
Campinas,140,4,3,2,acept,not furnished,1070,3000,250,39
Campinas,23,1,1,0,not acept,furnished,0,990,0,13
Campinas,150,1,2,0,acept,not furnished,0,1200,0,19
Campinas,92,3,2,3,acept,furnished,752,2525,0,32
Campinas,70,1,1,1,acept,furnished,460,2350,6,30
Campinas,55,1,1,0,acept,not furnished,473,500,17,7
Campinas,52,2,1,1,acept,not furnished,248,980,77,13
Campinas,42,1,1,0,acept,not furnished,0,690,12,9
Campinas,140,3,3,2,acept,not furnished,900,2370,0,31
Campinas,130,3,2,2,acept,furnished,1150,2800,184,36
Campinas,54,2,1,1,acept,not furnished,286,999,23,13
Campinas,77,3,1,2,acept,not furnished,486,1500,49,20
Campinas,62,2,1,0,acept,not furnished,280,709,22,9
Campinas,80,3,2,2,acept,not furnished,560,2500,175,32
Campinas,87,3,2,1,acept,furnished,870,1450,100,19
Campinas,170,3,2,2,acept,not furnished,0,2300,98,35
Campinas,84,3,1,1,acept,not furnished,950,1200,147,16
Campinas,60,2,1,0,not acept,not furnished,0,800,138,13
Campinas,100,3,2,2,acept,not furnished,0,2250,15,34
Campinas,122,3,2,1,acept,not furnished,250,1750,117,23
Campinas,155,3,3,2,acept,not furnished,960,5500,15,83
Campinas,54,2,1,1,acept,not furnished,320,1500,23,20
Campinas,291,4,3,2,acept,not furnished,0,3300,208,50
Campinas,68,2,1,1,acept,not furnished,400,1500,70,20
Campinas,128,4,2,1,not acept,not furnished,900,3400,59,44
Campinas,50,1,1,0,acept,not furnished,418,520,23,7
Campinas,100,3,2,2,acept,furnished,700,2200,105,28
Campinas,75,2,1,1,acept,not furnished,0,1080,80,17
Campinas,52,1,1,1,acept,not furnished,360,750,46,10
Campinas,75,3,1,2,acept,not furnished,599,1300,74,17
Campinas,38,1,1,0,acept,not furnished,300,550,70,7
Campinas,75,3,2,2,not acept,not furnished,700,1600,75,21
Campinas,205,3,2,4,acept,not furnished,0,2490,57,38
Campinas,45,1,1,1,acept,not furnished,700,870,46,12
Campinas,63,2,1,0,acept,not furnished,400,850,26,11
Campinas,70,3,1,1,acept,not furnished,315,940,64,12
Campinas,48,2,1,1,acept,not furnished,380,1545,49,20
Campinas,47,1,1,1,acept,not furnished,560,1100,46,14
Campinas,55,2,1,1,acept,not furnished,400,730,24,10
Campinas,60,1,1,1,acept,not furnished,340,1100,1,14
Campinas,144,4,3,2,acept,not furnished,1357,1750,210,23
Campinas,60,3,1,1,not acept,not furnished,450,1087,67,14
Campinas,203,3,1,2,acept,not furnished,0,3300,117,50
Campinas,54,1,2,1,acept,furnished,400,3500,0,45
Campinas,58,1,1,1,acept,not furnished,797,1270,64,17
Campinas,40,1,1,1,not acept,not furnished,1300,1000,0,13
Campinas,43,1,1,0,not acept,not furnished,323,660,14,9
Campinas,55,2,1,1,acept,not furnished,395,700,40,9
Campinas,45,1,1,1,acept,not furnished,653,880,38,12
Campinas,90,2,1,0,not acept,not furnished,0,1700,105,26
Campinas,200,4,3,2,acept,not furnished,1150,3400,209,44
Campinas,110,3,1,1,acept,not furnished,0,1500,50,23
Campinas,50,1,1,0,not acept,furnished,640,2000,100,26
Campinas,50,1,1,0,acept,not furnished,0,940,50,15
Campinas,30,1,1,0,not acept,not furnished,0,1400,0,22
Campinas,87,3,2,1,acept,not furnished,743,1800,109,23
Campinas,89,3,2,1,acept,not furnished,860,1800,70,23
Campinas,154,2,2,1,acept,not furnished,0,1300,109,20
Campinas,46,1,1,1,not acept,not furnished,560,935,45,12
Campinas,74,3,2,1,acept,not furnished,390,900,24,12
Campinas,45,1,1,0,acept,not furnished,412,860,66,11
Campinas,55,1,1,1,not acept,not furnished,260,1100,30,14
Campinas,48,2,1,1,acept,not furnished,243,850,0,11
Campinas,56,2,1,1,acept,not furnished,345,760,11,10
Campinas,64,1,2,1,not acept,not furnished,930,1540,68,20
Campinas,48,2,1,1,not acept,furnished,295,1400,27,18
Campinas,93,3,2,2,acept,not furnished,657,1700,73,22
Campinas,380,4,6,6,not acept,not furnished,0,4100,269,62
Campinas,72,2,1,0,not acept,not furnished,606,780,60,10
Campinas,135,2,2,2,acept,not furnished,1175,3800,255,49
Campinas,76,2,2,2,acept,furnished,679,3100,146,40
Campinas,100,2,2,0,acept,not furnished,0,1700,200,26
Campinas,85,3,2,1,not acept,furnished,500,1690,63,22
Campinas,51,1,1,0,not acept,not furnished,368,680,15,9
Campinas,128,3,3,2,acept,not furnished,700,3700,117,47
Campinas,170,2,3,3,acept,not furnished,1350,5900,167,75
Campinas,51,1,1,0,acept,not furnished,486,740,15,10
Campinas,94,3,1,1,acept,not furnished,565,2000,60,26
Campinas,45,1,1,1,acept,furnished,492,1320,28,17
Campinas,46,1,1,0,acept,not furnished,399,850,15,11
Campinas,73,3,2,2,acept,furnished,762,2000,204,26
Campinas,55,1,1,1,not acept,not furnished,200,2000,9,26
Campinas,76,3,2,1,acept,not furnished,547,950,97,13
Campinas,20,1,1,0,not acept,not furnished,210,930,9,12
Campinas,37,1,1,1,not acept,not furnished,415,825,33,11
Campinas,89,2,1,1,acept,not furnished,750,880,127,12
Campinas,200,2,1,1,acept,not furnished,0,1410,250,22
Campinas,74,3,2,2,acept,furnished,477,1600,0,21
Campinas,165,3,2,1,acept,not furnished,1100,1800,294,23
Campinas,32,1,1,0,not acept,not furnished,300,600,4,8
Campinas,36,1,1,0,acept,not furnished,290,700,10,9
Campinas,151,3,2,3,acept,furnished,1400,2500,251,32
Campinas,80,2,1,1,acept,not furnished,418,1000,0,13
Campinas,76,2,1,0,acept,not furnished,300,700,100,9
Campinas,42,2,1,1,acept,not furnished,190,846,0,11
Campinas,45,1,1,0,not acept,not furnished,506,500,24,7
Campinas,63,1,1,0,acept,furnished,700,1280,24,17
Campinas,202,3,2,2,acept,not furnished,0,1890,267,29
Campinas,86,2,2,1,acept,not furnished,480,1190,67,16
Campinas,44,1,1,1,acept,not furnished,525,850,27,11
Campinas,170,3,2,2,acept,not furnished,0,1800,41,28
Campinas,38,1,1,0,not acept,not furnished,440,892,17,12
Campinas,85,2,2,1,acept,not furnished,810,1100,70,14
Campinas,150,3,4,2,acept,not furnished,1200,3400,0,44
Campinas,55,2,1,1,acept,not furnished,399,900,25,12
Campinas,45,2,1,0,not acept,not furnished,250,1000,0,13
Campinas,72,2,1,2,acept,not furnished,730,1200,89,16
Campinas,52,2,1,1,acept,furnished,320,1800,70,23
Campinas,164,3,2,2,acept,not furnished,0,2100,293,32
Campinas,64,2,1,1,acept,not furnished,540,820,122,11
Campinas,60,2,1,1,not acept,not furnished,300,1400,60,18
Campinas,50,1,1,1,not acept,not furnished,718,1600,13,21
Campinas,30,1,1,0,acept,not furnished,280,500,10,7
Campinas,57,1,2,1,acept,not furnished,391,2961,111,38
Campinas,50,1,1,0,acept,not furnished,300,550,0,3
Campinas,78,3,2,2,acept,furnished,755,1900,37,25
Campinas,25,1,1,0,not acept,not furnished,200,1020,0,4
Campinas,113,3,2,2,acept,not furnished,700,1450,79,19
Campinas,70,2,1,1,not acept,not furnished,341,1100,60,14
Campinas,180,3,4,4,acept,not furnished,0,3230,250,49
Campinas,49,1,1,0,acept,not furnished,417,583,23,8
Campinas,76,1,2,0,acept,not furnished,300,700,100,9
Campinas,58,1,1,1,acept,not furnished,676,3300,108,42
Campinas,39,1,1,1,not acept,furnished,573,1128,32,15
Campinas,80,2,1,0,acept,not furnished,0,1200,0,19
Campinas,60,2,1,1,acept,not furnished,314,1000,0,13
Campinas,40,1,1,1,acept,not furnished,600,650,35,9
Campinas,35,1,1,1,acept,not furnished,350,966,25,13
Campinas,150,2,2,1,acept,not furnished,0,1060,167,16
