city,area,rooms,bathroom,parking spaces,animal,furniture,hoa (R$),rent amount (R$),property tax (R$),fire insurance (R$)
Belo Horizonte,184,3,1,2,acept,furnished,300,4000,110,54
Belo Horizonte,70,2,1,2,acept,not furnished,222,1600,100,22
Belo Horizonte,120,3,2,2,acept,not furnished,150,1700,196,23
Belo Horizonte,80,2,1,0,acept,not furnished,275,1500,104,20
Belo Horizonte,200,4,3,0,acept,not furnished,0,15000,36,246
Belo Horizonte,80,2,2,2,acept,furnished,1100,4800,300,64
Belo Horizonte,45,1,1,0,acept,not furnished,0,1100,127,19
Belo Horizonte,150,3,2,1,acept,not furnished,480,3000,224,40
Belo Horizonte,120,3,2,2,acept,not furnished,150,1700,195,23
Belo Horizonte,180,4,2,2,acept,not furnished,1500,2800,267,38
Belo Horizonte,140,4,3,4,not acept,not furnished,1050,2300,376,31
Belo Horizonte,52,1,2,1,acept,furnished,1000,3600,211,48
Belo Horizonte,150,3,3,2,acept,not furnished,350,1950,0,26
Belo Horizonte,150,4,4,4,acept,not furnished,890,4200,522,56
Belo Horizonte,70,2,1,1,acept,not furnished,250,1400,90,19
Belo Horizonte,143,3,2,3,not acept,not furnished,680,2500,170,34
Belo Horizonte,500,7,6,3,acept,not furnished,0,15000,384,246
Belo Horizonte,45,3,1,0,acept,not furnished,0,1300,127,22
Belo Horizonte,420,6,4,0,acept,not furnished,927,3500,405,47
Belo Horizonte,43,2,1,1,acept,not furnished,199,620,100,9
Belo Horizonte,112,4,1,2,acept,not furnished,0,1900,212,32
Belo Horizonte,96,3,1,1,not acept,not furnished,0,1200,34,20
Belo Horizonte,250,4,1,8,acept,not furnished,0,2125,231,35
Belo Horizonte,160,4,3,2,acept,not furnished,0,3700,143,61
Belo Horizonte,150,4,2,2,acept,not furnished,730,4200,396,56
Belo Horizonte,212,3,5,4,acept,not furnished,0,4200,393,69
Belo Horizonte,850,5,7,8,acept,not furnished,0,10000,1,164
Belo Horizonte,70,2,3,1,acept,furnished,700,2450,165,33
Belo Horizonte,62,2,1,1,acept,not furnished,100,1050,84,14
Belo Horizonte,190,4,3,3,acept,furnished,1384,4800,357,64
Belo Horizonte,110,4,2,0,acept,not furnished,0,1850,0,31
Belo Horizonte,15,1,1,0,acept,not furnished,45,665,0,9
Belo Horizonte,78,3,2,2,acept,not furnished,875,2300,229,31
Belo Horizonte,60,2,1,1,acept,not furnished,275,1200,97,16
Belo Horizonte,160,3,2,3,not acept,not furnished,460,3500,177,47
